Period,Value
Jan-1992,146376
Feb-1992,147079
Mar-1992,159336
Apr-1992,163669
May-1992,170068
Jun-1992,168663
Jul-1992,169890
Aug-1992,170364
Sep-1992,164617
Oct-1992,173655
Nov-1992,171547
Dec-1992,208838
Jan-1993,153221
Feb-1993,150087
Mar-1993,170439
Apr-1993,176456
May-1993,182231
Jun-1993,181535
Jul-1993,183682
Aug-1993,183318
Sep-1993,177406
Oct-1993,182737
Nov-1993,187443
Dec-1993,224540
Jan-1994,161349
Feb-1994,162841
Mar-1994,192319
Apr-1994,189569
May-1994,194927
Jun-1994,197946
Jul-1994,193355
Aug-1994,202388
Sep-1994,193954
Oct-1994,197956
Nov-1994,202520
Dec-1994,241111
Jan-1995,175344
Feb-1995,172138
Mar-1995,201279
Apr-1995,196039
May-1995,210478
Jun-1995,211844
Jul-1995,203411
Aug-1995,214248
Sep-1995,202122
Oct-1995,204044
Nov-1995,212190
Dec-1995,247491
Jan-1996,185019
Feb-1996,192380
Mar-1996,212110
Apr-1996,211718
May-1996,226936
Jun-1996,217511
Jul-1996,218111
Aug-1996,226062
Sep-1996,209250
Oct-1996,222663
Nov-1996,223953
Dec-1996,258081
Jan-1997,200389
Feb-1997,197556
Mar-1997,225133
Apr-1997,220329
May-1997,234190
Jun-1997,227365
Jul-1997,231521
Aug-1997,235252
Sep-1997,222807
Oct-1997,232251
Nov-1997,228284
Dec-1997,271054
Jan-1998,207853
Feb-1998,203863
Mar-1998,230313
Apr-1998,234503
May-1998,245027
Jun-1998,244067
Jul-1998,241431
Aug-1998,240462
Sep-1998,231243
Oct-1998,244234
Nov-1998,240991
Dec-1998,288969
Jan-1999,218126
Feb-1999,220650
Mar-1999,253550
Apr-1999,250783
May-1999,262113
Jun-1999,260918
Jul-1999,262051
Aug-1999,265089
Sep-1999,253905
Oct-1999,258040
Nov-1999,264106
Dec-1999,317659
Jan-2000,236422
Feb-2000,250580
Mar-2000,279515
Apr-2000,264417
May-2000,283706
Jun-2000,281288
Jul-2000,271146
Aug-2000,283944
Sep-2000,269155
Oct-2000,270899
Nov-2000,276507
Dec-2000,319958
Jan-2001,250746
Feb-2001,247772
Mar-2001,280449
Apr-2001,274925
May-2001,296013
Jun-2001,287881
Jul-2001,279098
Aug-2001,294763
Sep-2001,261924
Oct-2001,291596
Nov-2001,287537
Dec-2001,326202
Jan-2002,255598
Feb-2002,253086
Mar-2002,285261
Apr-2002,284747
May-2002,300402
Jun-2002,288854
Jul-2002,295433
Aug-2002,307256
Sep-2002,273189
Oct-2002,287540
Nov-2002,290705
Dec-2002,337006
Jan-2003,268328
Feb-2003,259051
Mar-2003,293693
Apr-2003,294251
May-2003,312389
Jun-2003,300998
Jul-2003,309923
Aug-2003,317056
Sep-2003,293890
Oct-2003,304036
Nov-2003,301265
Dec-2003,357577
Jan-2004,281460
Feb-2004,282444
Mar-2004,319077
Apr-2004,315191
May-2004,328408
Jun-2004,321044
Jul-2004,328000
Aug-2004,326317
Sep-2004,313524
Oct-2004,319726
Nov-2004,324259
Dec-2004,387155
Jan-2005,293261
Feb-2005,295062
Mar-2005,339141
Apr-2005,335632
May-2005,345348
Jun-2005,350945
Jul-2005,351827
Aug-2005,355701
Sep-2005,333289
Oct-2005,336134
Nov-2005,343798
Dec-2005,405608
Jan-2006,318546
Feb-2006,314051
Mar-2006,361993
Apr-2006,351667
May-2006,373560
Jun-2006,366615
Jul-2006,362203
Aug-2006,375795
Sep-2006,346214
Oct-2006,348796
Nov-2006,356928
Dec-2006,417991
Jan-2007,328877
Feb-2007,323162
Mar-2007,374142
Apr-2007,358535
May-2007,391512
Jun-2007,376639
Jul-2007,372354
Aug-2007,388016
Sep-2007,353936
Oct-2007,368681
Nov-2007,377802
Dec-2007,426077
Jan-2008,342697
Feb-2008,343937
Mar-2008,372923
Apr-2008,368923
May-2008,397969
Jun-2008,378490
Jul-2008,383686
Aug-2008,382852
Sep-2008,350560
Oct-2008,349884
Nov-2008,335571
Dec-2008,384286
Jan-2009,310269
Feb-2009,299488
Mar-2009,328568
Apr-2009,329866
May-2009,347768
Jun-2009,344439
Jul-2009,348106
Aug-2009,353473
Sep-2009,324708
Oct-2009,338630
Nov-2009,339386
Dec-2009,400264
Jan-2010,314640
Feb-2010,311022
Mar-2010,360819
Apr-2010,356460
May-2010,365713
Jun-2010,358675
Jul-2010,362027
Aug-2010,362682
Sep-2010,346069
Oct-2010,355212
Nov-2010,365809
Dec-2010,426654
Jan-2011,335608
Feb-2011,337352
Mar-2011,387092
Apr-2011,380754
May-2011,391970
Jun-2011,388636
Jul-2011,384600
Aug-2011,394548
Sep-2011,374895
Oct-2011,379364
Nov-2011,391081
Dec-2011,451669
Jan-2012,355058
Feb-2012,372523
Mar-2012,414275
Apr-2012,393035
May-2012,418648
Jun-2012,400996
Jul-2012,396020
Aug-2012,417911
Sep-2012,385597
Oct-2012,399341
Nov-2012,410992
Dec-2012,461994
Jan-2013,375537
Feb-2013,373938
Mar-2013,421638
Apr-2013,408381
May-2013,436985
Jun-2013,414701
Jul-2013,422357
Aug-2013,434950
Sep-2013,396199
Oct-2013,415740
Nov-2013,423611
Dec-2013,477205
Jan-2014,383399
Feb-2014,380315
Mar-2014,432806
Apr-2014,431415
May-2014,458822
Jun-2014,433152
Jul-2014,443005
Aug-2014,450913
Sep-2014,420871
Oct-2014,437702
Nov-2014,437910
Dec-2014,501232
Jan-2015,397252
Feb-2015,386935
Mar-2015,444110
Apr-2015,438217
May-2015,462615
Jun-2015,448229
Jul-2015,457710
Aug-2015,456340
Sep-2015,430917
Oct-2015,444959
Nov-2015,444507
Dec-2015,518253
Jan-2016,400928
Feb-2016,413554
Mar-2016,460093
Apr-2016,450730
May-2016,469435
Jun-2016,464102
Jul-2016,461851
Aug-2016,470250
